id,plane_id,article,party_size,pf_time,workload
2467,1,811033,30,11.0,1680.75
2468,1,300067,4,0.049,0.9815999999999999
2469,1,15844,14,3.5,248.47479999999996
2470,1,302339,99,0.15,73.3392
2471,1,156720,16,4.1,325.9408
2472,1,300082,12,0.062,3.7212
2473,1,15521,42,3.2,672.315
2474,1,832957,2,22.0,222.06
2475,1,167558,7,11.0,396.634
2476,1,104167,14,0.56,38.89619999999999
2477,1,185858,14,26.0,1843.8
2478,1,15690,7,4.0,138.985
2479,1,124480,7,13.0,440.9895
2480,1,177247,56,0.67,188.7088
2481,1,277989,7,20.0,703.6400000000001
2482,1,151301,7,1.7,57.8221
2483,1,810894,14,4.5,318.05620000000005
2484,1,811172,6,7.1,212.04000000000002
2485,1,295215,14,12.0,850.1682000000001
2486,1,9520,70,0.59,208.18
2487,1,303522,28,0.057,7.9940000000000015
2488,1,124232,28,2.5,346.64
2489,1,295384,14,2.3,161.28000000000003
2490,1,282533,28,6.6,919.7664
2491,1,811063,6,2.5,75.816
2492,1,811157,3,4.5,67.605
2493,1,254409,7,0.4,14.0
2494,1,295921,4,2.0,39.1224
2495,1,84500,12,1.4,81.5064
2496,1,15491,4,14.0,284.12839999999994
2497,1,826156,2,15.0,152.9
2498,1,171644,8,2.2,86.4
2499,1,124247,3,4.1,62.141400000000004
2500,1,212555,14,0.31,21.7434
2501,1,308006,14,0.21,14.6076
2502,1,49203,4,8.3,166.204
2503,1,124262,3,4.3,64.3944
2504,1,811127,3,4.2,62.805
2505,1,295459,2,20.0,195.95499999999998
2506,1,179256,7,1.8,62.691300000000005
2507,1,26224,63,0.035,10.930499999999999
2508,1,302275,470,0.61,1437.0249999999999
2509,1,163630,8,3.3,133.76
2510,1,15247,48,7.8,1883.7264
2511,1,124386,14,9.6,669.7893999999999
2512,1,124292,7,10.0,351.3062
2513,1,308554,8,0.0037,0.1472
2514,1,15709,7,19.0,661.8065999999999
2515,1,167588,7,2.3,81.56819999999999
2516,1,15356,7,15.0,519.05
2517,1,808532,7,6.2,217.44449999999995
2518,1,245963,4,7.5,149.90359999999998
2519,1,171854,4,4.0,79.5108
2520,1,811112,3,26.0,393.15
2521,1,826111,2,4.0,39.580000000000005
2522,1,247037,28,1.1,155.3272
2523,1,156690,2,7.2,72.2226
2524,1,191416,56,1.1,317.0104
2525,1,167547,8,20.0,781.9504000000001
2526,1,15487,8,1.7,67.18639999999999
2527,1,191551,2,4.8,48.272600000000004
2528,1,826167,2,7.7,76.5
2529,1,15326,16,2.6,208.1264
2530,1,811037,3,11.0,160.66500000000002
2531,1,810883,7,2.6,89.77499999999998
2532,1,156724,4,10.0,205.5
2533,1,811191,6,6.5,196.362
2534,1,234393,7,13.0,455.42699999999996
2535,1,15341,4,8.599999999999998,172.0924
2536,1,124529,7,2.1,73.95429999999999
2537,1,15296,8,10.0,401.8592
2538,1,811176,3,7.7,116.24700000000001
2539,1,826137,2,15.0,152.95999999999998
2540,1,277985,7,22.0,780.5350000000001
2541,1,295940,4,3.6,72.0
2542,1,124221,14,0.64,44.742599999999996
2543,1,124499,3,3.5,51.888000000000005
2544,1,123954,6,11.0,344.9928
2545,1,306372,16,1.1,86.97919999999998
2546,1,84575,3,5.6,83.4462
2547,1,300379,321,0.19,311.9157
2548,1,832961,2,22.0,224.39999999999998
2549,1,191442,22,7.4,819.39
2550,1,815457,6,11.0,335.09999999999997
2551,1,177187,7,5.4,187.92900000000003
2552,1,811161,3,6.0,90.447
2553,1,124514,7,0.9,31.4545
2554,1,295474,28,2.0,274.42240000000004
2555,1,282439,7,18.0,627.501
